x,y
-989,-35870.25
-979,-35473.75
-970,-35197.5
-953,-34529.25
-951,-34462.75
-949,-34422.25
-945,-34284.25
-922,-33432.5
-919,-33316.75
-906,-32823.5
-901,-32683.25
-895,-32469.75
-884,-32032.0
-878,-31831.5
-876,-31757.0
-871,-31554.75
-869,-31495.25
-862,-31222.5
-861,-31221.25
-845,-30630.25
-842,-30540.5
-839,-30426.75
-836,-30325.0
-832,-30163.0
-816,-29567.0
-806,-29244.5
-804,-29125.0
-776,-28162.0
-768,-27816.0
-757,-27417.25
-749,-27171.25
-735,-26624.75
-699,-25373.75
-698,-25298.5
-691,-25064.75
-686,-24843.5
-680,-24628.0
-675,-24482.75
-662,-24000.5
-652,-23634.0
-646,-23430.5
-626,-22686.5
-615,-22281.75
-607,-21980.75
-599,-21697.75
-590,-21377.5
-567,-20576.75
-562,-20361.5
-548,-19863.0
-547,-19863.75
-534,-19372.5
-510,-18462.5
-503,-18267.75
-488,-17695.0
-477,-17278.25
-473,-17123.25
-468,-16994.0
-467,-16905.75
-463,-16818.75
-456,-16553.0
-453,-16409.25
-451,-16350.75
-446,-16193.5
-430,-15607.5
-405,-14693.25
-394,-14317.5
-375,-13609.75
-368,-13367.0
-358,-13011.5
-351,-12739.75
-347,-12586.75
-312,-11344.0
-311,-11248.75
-301,-10924.25
-293,-10652.25
-249,-9045.25
-247,-8961.75
-235,-8508.75
-231,-8353.75
-227,-8237.75
-225,-8173.25
-223,-8100.75
-221,-7998.25
-219,-7947.75
-213,-7740.25
-212,-7685.0
-208,-7571.0
-207,-7515.75
-192,-6958.0
-150,-5465.5
-104,-3801.0
-97,-3520.25
-93,-3365.25
-89,-3205.25
-83,-3015.75
-79,-2839.75
-75,-2737.75
-47,-1717.75
-34,-1236.5
-32,-1168.0
-16,-569.0
-12,-424.0
-6,-234.5
-5,-216.25
0,-28.0
8,275.0
13,450.25
16,602.0
35,1282.75
54,1953.5
59,2140.75
65,2329.25
67,2447.75
72,2586.0
88,3178.0
97,3521.25
99,3556.75
113,4083.25
115,4140.75
126,4543.5
136,4954.0
139,5016.75
168,6081.0
184,6661.0
187,6784.75
198,7159.5
212,7699.0
246,8923.5
248,9001.0
249,9042.25
252,9114.0
260,9449.0
273,9882.25
278,10074.5
280,10130.0
282,10243.5
288,10431.0
291,10529.75
317,11462.25
343,12436.75
345,12472.25
357,12962.25
369,13383.25
377,13671.25
380,13792.0
389,14120.25
395,14335.75
407,14767.75
419,15182.75
429,15538.25
435,15782.75
460,16671.0
466,16860.5
469,17026.25
473,17123.25
474,17190.5
498,18052.5
503,18218.75
511,18489.75
512,18545.0
513,18592.25
524,18980.0
530,19228.5
542,19612.5
544,19741.0
546,19784.5
558,20222.5
571,20709.75
575,20832.75
582,21102.5
586,21241.5
592,21446.0
617,22382.25
622,22526.5
632,22922.0
657,23793.25
660,23890.0
663,24021.75
667,24192.75
682,24711.5
701,25426.25
706,25603.5
720,26118.0
762,27594.5
768,27840.0
781,28323.25
801,29021.25
820,29720.0
825,29892.25
834,30224.5
844,30562.0
848,30733.0
853,30900.25
864,31302.0
869,31525.25
877,31782.25
887,32146.75
912,33078.0
919,33316.75
926,33558.5
931,33734.75
937,33958.25
976,35355.0
994,36026.5
